Topic 0;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5
0.0;0.0;0.0;0.0;0.0;0.9922282099723816
0.5055463314056396;0.05328996106982231;0.43621209263801575;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9973894953727722;0.0
0.0;0.2677838206291199;0.0;0.7224568128585815;0.0;0.0
0.0;0.9916890859603882;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9906502366065979;0.0
0.9918214082717896;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.5590875744819641;0.0;0.0;0.43344974517822266
0.0;0.0;0.7889055013656616;0.20552749931812286;0.0;0.0
0.0;0.0;0.9913331866264343;0.0;0.0;0.0
0.20138512551784515;0.0;0.7939128279685974;0.0;0.0;0.0
0.0;0.0;0.0;0.9933463931083679;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9949953556060791
0.0;0.0;0.0;0.0;0.9912378191947937;0.0
0.0;0.0;0.0;0.0;0.0;0.9961634874343872
0.0;0.0;0.0;0.0;0.0;0.9919163584709167
0.0;0.0;0.0;0.0;0.99220871925354;0.0
0.0;0.0;0.9952298998832703;0.0;0.0;0.0
0.03500357270240784;0.0;0.663189172744751;0.29600051045417786;0.0;0.0
0.9913333654403687;0.0;0.0;0.0;0.0;0.0
0.9948020577430725;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.9896377325057983;0.0;0.0;0.0
0.0;0.0;0.0;0.6420470476150513;0.0;0.3531746566295624
0.0;0.7581453323364258;0.0;0.2364017367362976;0.0;0.0
0.0;0.0;0.9903419017791748;0.0;0.0;0.0
0.6443732380867004;0.10674050450325012;0.11891268938779831;0.12811057269573212;0.0;0.0
0.48562926054000854;0.0;0.0;0.5088106393814087;0.0;0.0
0.0;0.0;0.0;0.9974794387817383;0.0;0.0
0.991229236125946;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.279673308134079;0.7140921950340271;0.0;0.0
0.0;0.0;0.9925699830055237;0.0;0.0;0.0
0.0;0.0;0.989208459854126;0.0;0.0;0.0
0.0;0.0;0.9951739311218262;0.0;0.0;0.0
0.9924522638320923;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.9838449954986572;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9922218918800354;0.0
0.0;0.0;0.9886425137519836;0.0;0.0;0.0
0.0;0.9916828870773315;0.0;0.0;0.0;0.0
0.8697051405906677;0.0;0.1244395300745964;0.0;0.0;0.0
0.0;0.2762746512889862;0.7100027203559875;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9926970601081848
0.9900103211402893;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.9931043982505798;0.0;0.0
0.0;0.0;0.9958658814430237;0.0;0.0;0.0
0.0;0.5025292038917542;0.4882519543170929;0.0;0.0;0.0
0.0;0.0;0.036520108580589294;0.9574233293533325;0.0;0.0
0.0;0.0;0.0;0.3854447305202484;0.0;0.6093757152557373
0.0;0.23045814037322998;0.0;0.6361374258995056;0.0;0.1274639368057251
0.0;0.0;0.0;0.0;0.0;0.9908612966537476
0.0;0.0;0.0;0.0;0.0;0.997082531452179
0.0;0.0;0.0;0.9958500862121582;0.0;0.0
0.0;0.16946938633918762;0.0;0.0;0.8229740262031555;0.0
0.0;0.3264849781990051;0.0;0.0;0.0;0.6659532785415649
0.0;0.0;0.0;0.0;0.9939948916435242;0.0
0.0;0.0;0.9813146591186523;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9950241446495056;0.0
0.0;0.0;0.0;0.9973738193511963;0.0;0.0
0.0;0.9918574094772339;0.0;0.0;0.0;0.0
0.0;0.0;0.9893816113471985;0.0;0.0;0.0
0.7096871733665466;0.0;0.28315651416778564;0.0;0.0;0.0
0.0;0.0;0.0;0.9957272410392761;0.0;0.0
0.0;0.0;0.9943987131118774;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9886393547058105
0.0;0.0;0.9926213026046753;0.0;0.0;0.0
0.0;0.9930567145347595;0.0;0.0;0.0;0.0
0.0;0.9951074719429016;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.9778735041618347;0.0;0.0
0.0;0.0;0.0;0.9913191199302673;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9948451519012451
0.0;0.0;0.0;0.0;0.0;0.994837760925293
0.994849443435669;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9876347780227661;0.0
0.0;0.9954055547714233;0.0;0.0;0.0;0.0
0.0;0.0;0.9904526472091675;0.0;0.0;0.0
0.0;0.0;0.5205250978469849;0.4694451689720154;0.0;0.0
0.0;0.0;0.0;0.9957187175750732;0.0;0.0
0.0;0.9948471784591675;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.9990869760513306;0.0;0.0
0.0;0.5996121764183044;0.39315977692604065;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9828183054924011
0.0785183385014534;0.0;0.0;0.0;0.0;0.9151425957679749
0.0;0.9917609691619873;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.9838077425956726;0.0;0.0
0.0;0.9902434349060059;0.0;0.0;0.0;0.0
0.0;0.0;0.9737867116928101;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9897592663764954
0.0;0.9804418683052063;0.0;0.0;0.0;0.0
0.9872946739196777;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.9952841997146606;0.0;0.0;0.0
0.0;0.0;0.6415616869926453;0.34970852732658386;0.0;0.0
0.0;0.0;0.0;0.9921507835388184;0.0;0.0
0.9909544587135315;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.9888141751289368;0.0;0.0;0.0
0.0;0.0;0.9844450950622559;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9947152733802795;0.0
0.0;0.9946571588516235;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.9794712066650391
0.0;0.0;0.0;0.9916743636131287;0.0;0.0
0.0;0.0;0.9862549901008606;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.9928788542747498;0.0
0.0;0.0;0.0;0.9896202683448792;0.0;0.0
0.9915183782577515;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.9927615523338318;0.0;0.0;0.0
0.0;0.0;0.0;0.9932858943939209;0.0;0.0
0.0;0.0;0.9931726455688477;0.0;0.0;0.0
